date,price,return
20/03/2017,28167,
21/03/2017,28429,0.009258671
22/03/2017,28431,7.03E-05
23/03/2017,28540.5,0.003844032
24/03/2017,28418.5,-0.00428379
27/03/2017,28602,0.006436304
28/03/2017,28355,-0.008673264
29/03/2017,28317,-0.00134105
30/03/2017,28394,0.002715524
31/03/2017,28567.5,0.006091853
03/04/2017,28389.5,-0.00625035
04/04/2017,28233.5,-0.005510142
05/04/2017,28324,0.003200286
06/04/2017,28293.5,-0.001077406
07/04/2017,28038.5,-0.009053531
10/04/2017,28132,0.003329153
11/04/2017,28299.5,0.005936418
12/04/2017,28431.5,0.004653549
13/04/2017,28352.5,-0.002782476
14/04/2017,28417,0.002272348
17/04/2017,28524.5,0.003775809
18/04/2017,29200.5,0.023422465
19/04/2017,29058,-0.004892
20/04/2017,29126,0.002337413
21/04/2017,29108.5,-0.000601018
24/04/2017,29068,-0.001392315
25/04/2017,29232.5,0.005643191
26/04/2017,29211.5,-0.000718637
27/04/2017,29333.5,0.00416774
28/04/2017,29454,0.004099517
01/05/2017,29307,-0.005003329
02/05/2017,29427,0.004086225
03/05/2017,29263,-0.005588701
04/05/2017,29400,0.004670755
05/05/2017,29509,0.003700627
08/05/2017,29412.5,-0.003275548
09/05/2017,29404.5,-0.00027203
10/05/2017,29421,0.000560981
11/05/2017,29282.5,-0.004718637
12/05/2017,29251,-0.001076307
15/05/2017,29244,-0.000239337
16/05/2017,29302,0.001981349
17/05/2017,29420.5,0.004035937
18/05/2017,29346,-0.002535459
19/05/2017,29593.5,0.008398492
22/05/2017,29510,-0.002825554
23/05/2017,29408.5,-0.003445441
24/05/2017,29425,0.000560905
25/05/2017,29359.5,-0.00222848
26/05/2017,29099.5,-0.008895182
29/05/2017,29202,0.003516208
30/05/2017,29203,3.42E-05
31/05/2017,29280,0.002633245
01/06/2017,29250.5,-0.001008022
02/06/2017,29265,0.000495595
05/06/2017,29314,0.001672955
06/06/2017,29334,0.000682035
07/06/2017,29419.5,0.002910467
08/06/2017,29390,-0.001003239
09/06/2017,28916.5,-0.016242114
12/06/2017,28720.5,-0.006801213
13/06/2017,28943.5,0.0077345
14/06/2017,28953.5,0.000345441
15/06/2017,28947.5,-0.00020725
16/06/2017,28989,0.001432603
19/06/2017,28942.5,-0.001605345
20/06/2017,28704,-0.008274617
21/06/2017,28796,0.003200003
22/06/2017,28819.5,0.000815753
23/06/2017,28903,0.002893155
26/06/2017,28921.5,0.000639867
27/06/2017,29145.5,0.007715264
28/06/2017,29400,0.008694147
29/06/2017,29575.5,0.005951642
